k_factor,finish_multiplier,title_fight_multiplier,five_round_multiplier,log_loss,brier_score,accuracy,num_predictions
20.00,1.30,1.00,1.00,0.686008,0.246446,0.511555,8957
20.00,1.30,1.05,1.00,0.686008,0.246446,0.511555,8957
20.00,1.30,1.10,1.00,0.686008,0.246446,0.511555,8957
20.00,1.30,1.15,1.00,0.686008,0.246446,0.511555,8957
20.00,1.20,1.00,1.10,0.686093,0.246488,0.511555,8957
20.00,1.20,1.05,1.10,0.686093,0.246488,0.511555,8957
20.00,1.20,1.10,1.10,0.686093,0.246488,0.511555,8957
20.00,1.20,1.15,1.10,0.686093,0.246488,0.511555,8957
20.00,1.20,1.00,1.05,0.686093,0.246488,0.511555,8957
20.00,1.20,1.05,1.05,0.686093,0.246488,0.511555,8957
20.00,1.20,1.10,1.05,0.686093,0.246488,0.511555,8957
20.00,1.20,1.15,1.05,0.686093,0.246488,0.511555,8957
20.00,1.20,1.00,1.00,0.686094,0.246489,0.511555,8957
20.00,1.20,1.05,1.00,0.686094,0.246489,0.511555,8957
20.00,1.20,1.10,1.00,0.686094,0.246489,0.511555,8957
20.00,1.20,1.15,1.00,0.686094,0.246489,0.511555,8957
20.00,1.10,1.00,1.10,0.686269,0.246575,0.510550,8957
20.00,1.10,1.05,1.10,0.686269,0.246575,0.510550,8957
20.00,1.10,1.10,1.10,0.686269,0.246575,0.510550,8957
20.00,1.10,1.15,1.10,0.686269,0.246575,0.510550,8957
20.00,1.10,1.00,1.05,0.686269,0.246575,0.510550,8957
20.00,1.10,1.05,1.05,0.686269,0.246575,0.510550,8957
20.00,1.10,1.10,1.05,0.686269,0.246575,0.510550,8957
20.00,1.10,1.15,1.05,0.686269,0.246575,0.510550,8957
20.00,1.10,1.00,1.00,0.686269,0.246575,0.510550,8957
20.00,1.10,1.05,1.00,0.686269,0.246575,0.510550,8957
20.00,1.10,1.10,1.00,0.686269,0.246575,0.510550,8957
20.00,1.10,1.15,1.00,0.686269,0.246575,0.510550,8957
20.00,1.00,1.00,1.10,0.686449,0.246664,0.508429,8957
20.00,1.00,1.05,1.10,0.686449,0.246664,0.508429,8957
20.00,1.00,1.10,1.10,0.686449,0.246664,0.508429,8957
20.00,1.00,1.15,1.10,0.686449,0.246664,0.508429,8957
20.00,1.00,1.00,1.05,0.686449,0.246664,0.508429,8957
20.00,1.00,1.05,1.05,0.686449,0.246664,0.508429,8957
20.00,1.00,1.10,1.05,0.686449,0.246664,0.508429,8957
20.00,1.00,1.15,1.05,0.686449,0.246664,0.508429,8957
20.00,1.00,1.00,1.00,0.686449,0.246665,0.508429,8957
20.00,1.00,1.05,1.00,0.686449,0.246665,0.508429,8957
20.00,1.00,1.10,1.00,0.686449,0.246665,0.508429,8957
20.00,1.00,1.15,1.00,0.686449,0.246665,0.508429,8957
